Title,Rating,Director,Writers,Stars,Keywords,Movie_Duration,Genre,Release_Year,Num_of_ratings
inside man ,7.6, spike lee, russell gewirtz, denzel washington clive owen jodie foster ,bank bank robber hostage robber negotiation,129,Crime,-2006,333273
gone baby gone ,7.6, ben affleck, ben affleck , morgan freeman ed harris casey affleck ,moral dilemma missing child surprise ending kidnapping private detective,114,Crime,-2007,246882
la vie en rose ,7.6, olivier dahan, isabelle sobelman olivier dahan, marion cotillard sylvie testud pascal greggory ,female singer title based on song based on true story marcel cerdan character singer,140,Biography,-2007,81749
fearless ,7.6, ronny yu, chris chow richard epcar , jet li li sun yong dong ,spiritual,104,Action,-2006,72283
the illusionist ,7.6, neil burger, neil burger , edward norton jessica biel paul giamatti ,magician austria 1890s told in flashback unrequited love,110,Drama,-2006,351752
thank you for smoking ,7.6, jason reitman, jason reitman , aaron eckhart cameron bright maria bello ,lobbyist tobacco industry black comedy tobacco lobby cigarette smoking,92,Comedy,-2005,211556
dead mans shoes ,7.6, shane meadows, paddy considine shane meadows , paddy considine gary stretch toby kebbell ,revenge torture army veteran anger brother brother relationship,90,Crime,-2004,48773
harry potter and the halfblood prince ,7.6, david yates, steve kloves , daniel radcliffe emma watson rupert grint ,school of magic hereditary gift of witchcraft witchcraft hourglass lifting a female into the air,153,Action,-2009,462295
300 ,7.6, zack snyder, zack snyder , gerard butler lena headey david wenham ,spartan battle warrior greece battle of thermopylae,117,Action,-2006,725136
match point ,7.6, woody allen, woody allen, scarlett johansson jonathan rhys meyers emily mortimer ,irony of fate nihilism misanthropy actress upper class,124,Drama,-2005,203845
watchmen ,7.6, zack snyder, david hayter , jackie earle haley patrick wilson carla gugino ,rape conspiracy doomsday clock false promise of the american dream nihilist,162,Action,-2009,494488
lord of war ,7.6, andrew niccol, andrew niccol, nicolas cage ethan hawke jared leto ,arms dealer gunrunner prostitution drug addiction rehab,122,Action,-2005,291059
saw ,7.6, james wan, leigh whannell james wan , cary elwes leigh whannell danny glover ,locked in a room trapped in a room mind game surprise ending flashback,103,Horror,-2004,374123
synecdoche new york ,7.6, charlie kaufman, charlie kaufman, philip seymour hoffman samantha morton michelle williams ,actress painter therapist death voyeurism,124,Drama,-2008,81196
mysterious skin ,7.6, gregg araki, gregg araki , brady corbet joseph gordonlevitt elisabeth shue ,gay male prostitute male hustler loss of innocence man boy relationship homosexual rape,105,Drama,-2004,65312
love me if you dare ,7.6, yann samuell, yann samuell, guillaume canet marion cotillard thibault verhaeghe ,game dare music box dark comedy best friends in love,93,Comedy,-2003,66695
a very long engagement ,7.6, jeanpierre jeunet, sbastien japrisot , audrey tautou gaspard ulliel jodie foster ,cracking a nut bedridden boot mouse firework,133,Drama,-2004,70393
the station agent ,7.6, tom mccarthy, tom mccarthy , peter dinklage patricia clarkson bobby cannavale ,fitting in loner new in town unlikely friendship railroad agent,89,Comedy,-2003,66820
love actually ,7.6, richard curtis, richard curtis, hugh grant martine mccutcheon liam neeson ,christmas adultery love at first sight prime minister stand in,135,Comedy,-2003,417358
sympathy for mr vengeance ,7.6, chanwook park, myeongchan park , kangho song hakyun shin doona bae ,revenge sign language sex torture three act structure,129,Crime,-2002,61522
25th hour ,7.6, spike lee, david benioff , edward norton barry pepper philip seymour hoffman ,drug dealing dream bar nightclub widower,135,Drama,-2002,168414
the butterfly effect ,7.6, eric bress j mackye gruber, j mackye gruber eric bress, ashton kutcher amy smart melora walters ,butterfly effect love time travel child pornography memory,113,Drama,-2004,446202
28 days later ,7.6, danny boyle, alex garland, cillian murphy naomie harris christopher eccleston ,virus military london england zombie apocalypse laboratory,113,Drama,-2002,371448
battle royale ,7.6, kinji fukasaku, koushun takami , tatsuya fujiwara aki maeda tar yamamoto ,japanese schoolgirl miniskirt jgirl social commentary cult film,114,Action,-2000,167193
the royal tenenbaums ,7.6, wes anderson, wes anderson owen wilson, gene hackman gwyneth paltrow anjelica huston ,family relationships forbidden love unconventional family eccentric family lesbian kiss,110,Comedy,-2001,262553
y tu mam tambin ,7.6, alfonso cuarn, carlos cuarn alfonso cuarn, maribel verd gael garca bernal daniel gimnez cacho ,threesome sexuality on the road beach horniness,106,Drama,-2001,114266
harry potter and the sorcerers stone ,7.6, chris columbus, jk rowling , daniel radcliffe rupert grint richard harris ,magic based on novel wizard school of magic abusive uncle,152,Adventure,-2001,634761
the others ,7.6, alejandro amenbar, alejandro amenbar, nicole kidman christopher eccleston fionnula flanagan ,mansion haunting surprise ending suicide attempt able to see the dead,104,Horror,-2001,332397
blow ,7.6, ted demme, bruce porter , johnny depp penlope cruz franka potente ,drug abuse nosebleed police officer drug cartel federal bureau of investigation,124,Biography,-2001,237731
enemy at the gates ,7.6, jeanjacques annaud, jeanjacques annaud alain godard, jude law ed harris joseph fiennes ,sniper stalingrad battle world war two soldier weapon,131,Drama,-2001,239855
traffic ,7.6, steven soderbergh, simon moore , michael douglas benicio del toro catherine zetajones ,mexico drug cartel hid the records in the back of a painting judge cocaine interlinked stories,147,Crime,-2000,193887
minority report ,7.6, steven spielberg, philip k dick , tom cruise colin farrell samantha morton ,year 2054 future noir neo noir washington dc psychic,145,Action,-2002,501474
the hurricane ,7.6, norman jewison, rubin hurricane carter , denzel washington vicellous shannon deborah kara unger ,toronto ontario historical revisionism reference to fyodor dostoyevsky reference to we b dubois reference to richard wright,146,Biography,-1999,90491
american psycho ,7.6, mary harron, bret easton ellis , christian bale justin theroux josh lucas ,narcissism materialism serial murder 1980s business card,101,Comedy,-2000,478486
run lola run ,7.6, tom tykwer, tom tykwer , franka potente moritz bleibtreu herbert knaup ,race against the clock fate repeated event running race against time,80,Crime,-1998,186682
the thin red line ,7.6, terrence malick, james jones , jim caviezel sean penn nick nolte ,battle tropical island jungle guadalcanal hill,170,Drama,-1998,170217
mulan ,7.6, tony bancroft barry cook, robert d san souci , mingna wen eddie murphy bd wong ,woman disguised as a man cartoon violence war violence violence girl disguised as boy,88,Animation,-1998,250861
fear and loathing in las vegas ,7.6, terry gilliam, hunter s thompson , johnny depp benicio del toro tobey maguire ,drugs hallucination 1970s lawyer journalist,118,Adventure,-1998,256447
funny games ,7.6, michael haneke, michael haneke, susanne lothar ulrich mhe arno frisch ,egg broken egg home invasion buddy golf ball,108,Crime,-1997,63452
dark city ,7.6, alex proyas, alex proyas , rufus sewell kiefer sutherland jennifer connelly ,neo noir alien race memory experiment beach,100,Mystery,-1998,186011
