Title,Rating,Director,Writers,Stars,Keywords,Movie_Duration,Genre,Release_Year,Num_of_ratings
the hustler ,8.0, robert rossen, sidney carroll , paul newman jackie gleason piper laurie ,playing pool arrogance pool cue case death of girlfriend insult,134,Drama,-1961,74300
la dolce vita ,8.0, federico fellini, federico fellini , marcello mastroianni anita ekberg anouk aime ,sexy woman journalist celebrity party drunkenness,174,Comedy,-1960,65228
rio bravo ,8.0, howard hawks, jules furthman , john wayne dean martin ricky nelson ,gunfighter deputy sheriff cripple gambler,141,Action,-1959,55227
anatomy of a murder ,8.0, otto preminger, wendell mayes , james stewart lee remick ben gazzara ,murder trial rape victim rosary catholicism underwear,161,Crime,-1959,58816
touch of evil ,8.0, orson welles, orson welles , charlton heston orson welles janet leigh ,investigation murder brothel drugs corruption,95,Crime,-1958,97332
cat on a hot tin roof ,8.0, richard brooks, richard brooks , elizabeth taylor paul newman burl ives ,southern gothic husband wife relationship homosexuality based on play ex football player,108,Drama,-1958,44274
the killing ,8.0, stanley kubrick, stanley kubrick , sterling hayden coleen gray vince edwards ,heist heist gone wrong police shootout femme fatale one last job,84,Crime,-1956,80223
the night of the hunter ,8.0, charles laughton, davis grubb , robert mitchum shelley winters lillian gish ,widow preacher spanking child money,92,Crime,-1955,80689
la strada ,8.0, federico fellini, federico fellini , anthony quinn giulietta masina richard basehart ,drunkenness happiness circus road movie magical realism,108,Drama,-1954,57363
diabolique ,8.0, henrigeorges clouzot as hg clouzot, pierre boileau , simone signoret vra clouzot paul meurisse ,drowning in a bathtub boarding school disappearance of a dead body surprise ending teacher,117,Crime,-1955,60675
stalag 17 ,8.0, billy wilder, billy wilder , william holden don taylor otto preminger ,prisoner of war camp world war two nazi betting diversionary tactic,120,Comedy,-1953,50528
roman holiday ,8.0, william wyler, ian mclellan hunter , gregory peck audrey hepburn eddie albert ,national film registry italy poker game princess american,118,Comedy,-1953,125442
a streetcar named desire ,8.0, elia kazan, tennessee williams , vivien leigh marlon brando kim hunter ,off screen rape mental illness histrionic personality disorder middle aged woman sister sister relationship,122,Drama,-1951,97736
in a lonely place ,8.0, nicholas ray, andrew solt , humphrey bogart gloria grahame frank lovejoy ,temper screenwriter police investigation murder alibi,94,Drama,-1950,25728
kind hearts and coronets ,8.0, robert hamer, roy horniman , dennis price alec guinness valerie hobson ,heir actor playing multiple roles united kingdom great britain duke,106,Comedy,-1949,33971
rope ,8.0, alfred hitchcock, hume cronyn , james stewart john dall farley granger ,long take gay subtext rope leopold loeb case murder,80,Crime,-1948,127094
out of the past ,8.0, jacques tourneur, daniel mainwaring , robert mitchum jane greer kirk douglas ,secret past double cross national film registry day for night assumed name,97,Crime,-1947,32132
the shawshank redemption ,9.3, frank darabont, stephen king , tim robbins morgan freeman bob gunton ,wrongful imprisonment based on the works of stephen king prison escape from prison voice over narration,142,Drama,-1994,2295623
the godfather ,9.2, francis ford coppola, mario puzo , marlon brando al pacino james caan ,crime family mafia patriarch organized crime rise to power,175,Crime,-1972,1584581
the dark knight ,9.0, christopher nolan, jonathan nolan , christian bale heath ledger aaron eckhart ,dc comics joker psychopath clown criminal mastermind,152,Action,-2008,2260364
the godfather part ii ,9.0, francis ford coppola, francis ford coppola , al pacino robert de niro robert duvall ,revenge corrupt politician bloody body of child mafia 1950s,202,Crime,-1974,1107091
the lord of the rings the return of the king ,8.9, peter jackson, jrr tolkien , elijah wood viggo mortensen ian mckellen ,orc epic battle journey hobbit,201,Action,-2003,1614192
pulp fiction ,8.9, quentin tarantino, quentin tarantino , john travolta uma thurman samuel l jackson ,nonlinear timeline overdose drug overdose bondage drug use,154,Crime,-1994,1792696
schindlers list ,8.9, steven spielberg, thomas keneally , liam neeson ralph fiennes ben kingsley ,accountant champagne villa womanizer soap,195,Biography,-1993,1191650
12 angry men ,8.9, sidney lumet, reginald rose , henry fonda lee j cobb martin balsam ,jury dialogue driven courtroom single set production trial,96,Crime,-1957,674525
inception ,8.8, christopher nolan, christopher nolan, leonardo dicaprio joseph gordonlevitt ellen page ,dream ambiguous ending subconscious surprise ending psycho thriller,148,Action,-2010,2022373
fight club ,8.8, david fincher, chuck palahniuk , brad pitt edward norton meat loaf ,fighting anti establishment multiple personality disorder insomnia anti conformity,139,Drama,-1999,1820071
the lord of the rings the fellowship of the ring ,8.8, peter jackson, jrr tolkien , elijah wood ian mckellen orlando bloom ,ring quest hobbit elf orc,178,Action,-2001,1629941
forrest gump ,8.8, robert zemeckis, winston groom , tom hanks robin wright gary sinise ,vietnam war amputee war hero based on book based on novel,142,Drama,-1994,1769083
the good the bad and the ugly ,8.8, sergio leone, luciano vincenzoni , clint eastwood eli wallach lee van cleef ,spaghetti western shootout famous opening theme man with no name outlaw,178,Western,-1966,677119
hamilton ,8.7, thomas kail, linmanuel miranda , linmanuel miranda phillipa soo leslie odom jr ,revolutionary war hip hop broadway musical cultural appropriation based on broadway musical,160,Biography,-2020,44083
the lord of the rings the two towers ,8.7, peter jackson, jrr tolkien , elijah wood ian mckellen viggo mortensen ,middle earth wizard mission hobbit dwarf,179,Action,-2002,1458963
the matrix ,8.7, lana wachowski as the wachowski brothers lilly wachowski as the wachowski brothers, lilly wachowski , keanu reeves laurence fishburne carrieanne moss ,simulated reality artificial reality war with machines computer hacker post apocalypse,136,Action,-1999,1643711
goodfellas ,8.7, martin scorsese, nicholas pileggi , robert de niro ray liotta joe pesci ,gangster organized crime sadistic psychopath mafia rise and fall,146,Biography,-1990,999498
star wars episode v  the empire strikes back ,8.7, irvin kershner, leigh brackett , mark hamill harrison ford carrie fisher ,famous twist duel rescue part of trilogy famous score,124,Action,-1980,1139179
one flew over the cuckoos nest ,8.7, milos forman, lawrence hauben , jack nicholson louise fletcher michael berryman ,mental institution tragicomedy mental illness nurse escape,133,Drama,-1975,901085
parasite ,8.6, bong joon ho, bong joon ho , kangho song sunkyun lee yeojeong jo ,social satire class differences house fraud scam,132,Comedy,-2019,493605
interstellar ,8.6, christopher nolan, jonathan nolan christopher nolan, matthew mcconaughey anne hathaway jessica chastain ,astronaut saving the world relativity gravity nasa,169,Adventure,-2014,1468195
city of god ,8.6, fernando meirelles ktia lund codirector, paulo lins , alexandre rodrigues leandro firmino matheus nachtergaele ,photographer slum gang brazil favela,130,Crime,-2002,689617
spirited away ,8.6, hayao miyazaki, hayao miyazaki, daveigh chase suzanne pleshette miyu irino ,spirit bathhouse anime spirit world studio ghibli,125,Animation,-2001,633569
saving private ryan ,8.6, steven spielberg, robert rodat, tom hanks matt damon tom sizemore ,rescue mission year 1944 d day 1940s world war two,169,Drama,-1998,1212632
the green mile ,8.6, frank darabont, stephen king , tom hanks michael clarke duncan david morse ,death row inmate evil evil man good versus evil 1930s,189,Crime,-1999,1122099
life is beautiful ,8.6, roberto benigni, vincenzo cerami , roberto benigni nicoletta braschi giorgio cantarini ,jewish world war two nazi occupation tank holocaust,116,Comedy,-1997,610617
se7en ,8.6, david fincher, andrew kevin walker, morgan freeman brad pitt kevin spacey ,serial killer detective serial murder seven deadly sins murder,127,Crime,-1995,1413985
the silence of the lambs ,8.6, jonathan demme, thomas harris , jodie foster anthony hopkins lawrence a bonney ,serial killer psycho thriller bad guy wins stuck in a well psychopath,118,Crime,-1991,1244616
star wars episode iv  a new hope ,8.6, george lucas, george lucas, mark hamill harrison ford carrie fisher ,rebellion galactic war space opera princess droid,121,Action,-1977,1210924
harakiri ,8.6, masaki kobayashi, yasuhiko takiguchi , tatsuya nakadai akira ishihama shima iwashita ,samurai one against many year 1630 katana ronin,133,Action,-1962,38755
seven samurai ,8.6, akira kurosawa, akira kurosawa , toshir mifune takashi shimura keiko tsushima ,samurai 16th century battle japan epic,207,Action,-1954,310398
its a wonderful life ,8.6, frank capra, frances goodrich , james stewart donna reed lionel barrymore ,guardian angel christmas small town life alternate history second chance,130,Drama,-1946,390854
joker ,8.5, todd phillips, todd phillips scott silver , joaquin phoenix robert de niro zazie beetz ,mental illness evil clown nihilism laughing stand up comedian,122,Crime,-2019,882551
whiplash ,8.5, damien chazelle, damien chazelle, miles teller jk simmons melissa benoist ,drummer music school new york city conservatory drum solo,106,Drama,-2014,697638
the intouchables ,8.5, olivier nakache ric toledano, olivier nakache philippe pozzo di borgo , franois cluzet omar sy anne le ny ,class differences caregiver black white friendship disabled person rich poor,112,Biography,-2011,742365
the prestige ,8.5, christopher nolan, jonathan nolan , christian bale hugh jackman scarlett johansson ,rivalry magician illusion obsession secret,130,Drama,-2006,1165258
the departed ,8.5, martin scorsese, william monahan , leonardo dicaprio matt damon jack nicholson ,police mobster irish mafia organized crime violence,151,Crime,-2006,1167616
the pianist ,8.5, roman polanski, ronald harwood , adrien brody thomas kretschmann frank finlay ,pianist holocaust survival poland nazi occupied poland,150,Biography,-2002,713758
gladiator ,8.5, ridley scott, david franzoni , russell crowe joaquin phoenix connie nielsen ,gladiator roman empire slavery combat battlefield,155,Action,-2000,1316927
american history x ,8.5, tony kaye, david mckenna, edward norton edward furlong beverly dangelo ,neo nazi prison hatred racism jail,119,Drama,-1998,1019917
the usual suspects ,8.5, bryan singer, christopher mcquarrie, kevin spacey gabriel byrne chazz palminteri ,criminal mastermind surprise ending criminal suspect flashback,106,Crime,-1995,975218
lon the professional ,8.5, luc besson, luc besson, jean reno gary oldman natalie portman ,girl hitman teenage girl older man young girl relationship neo noir,110,Action,-1994,1015218
the lion king ,8.5, roger allers rob minkoff, irene mecchi , matthew broderick jeremy irons james earl jones ,africa king lion prince disney,88,Animation,-1994,923875
terminator 2 judgment day ,8.5, james cameron, james cameron william wisher, arnold schwarzenegger linda hamilton edward furlong ,time travel liquid metal future sequel voice over narration,137,Action,-1991,980865
cinema paradiso ,8.5, giuseppe tornatore, giuseppe tornatore , philippe noiret enzo cannavale antonella attili ,film projectionist cinema flashback movie theatre funeral,155,Drama,-1988,225299
grave of the fireflies ,8.5, isao takahata, akiyuki nosaka , tsutomu tatsumi ayano shiraishi akemi yamaguchi ,orphan food survival older brother younger sister homelessness,89,Animation,-1988,228370
back to the future ,8.5, robert zemeckis, robert zemeckis bob gale, michael j fox christopher lloyd lea thompson ,time travel delorean time machine future time travel comedy,116,Adventure,-1985,1036020
anand ,8.5, hrishikesh mukherjee, hrishikesh mukherjee , rajesh khanna amitabh bachchan sumita sanyal ,character name as title forename as title one word title doctor lymphosarcoma,122,Drama,-1971,28912
once upon a time in the west ,8.5, sergio leone, sergio donati , henry fonda charles bronson claudia cardinale ,harmonica woman in bathtub widow former prostitute railway station,165,Western,-1968,297732
psycho ,8.5, alfred hitchcock, joseph stefano , anthony perkins janet leigh vera miles ,motel shower money dragging a dead body carrying a dead body,109,Horror,-1960,592328
casablanca ,8.5, michael curtiz, julius j epstein , humphrey bogart ingrid bergman paul henreid ,nazi love triangle casablanca morocco anti nazi french morocco,102,Drama,-1942,513542
modern times ,8.5, charles chaplin as charlie chaplin, charles chaplin , charles chaplin paulette goddard henry bergman ,jail actor director writer music score composed by director factory satire,87,Comedy,-1936,213255
city lights ,8.5, charles chaplin, charles chaplin, charles chaplin virginia cherrill florence lee ,slapstick comedy blind girl millionaire flower girl boxing,87,Comedy,-1931,164310
capernaum ,8.4, nadine labaki, nadine labaki , zain al rafeea yordanos shiferaw boluwatife treasure bankole ,breast feeding boy 12 year old courtroom prison,126,Drama,-2018,56267
ayla the daughter of war ,8.4, can ulkay, yigit gralp, öetin tekindor ismail hacioglu kyungjin lee ,melodrama airplane korean war reference to marilyn monroe soldier,125,Biography,-2017,32722
your name ,8.4, makoto shinkai, makoto shinkai , rynosuke kamiki mone kamishiraishi ry narita ,japanese high school girl upskirt touching ones breasts hiked skirt short skirt,106,Animation,-2016,183191
dangal ,8.4, nitesh tiwari, piyush gupta shreyas jain , aamir khan sakshi tanwar fatima sana shaikh ,small town father daughter relationship male objectification bare chested male female protagonist,161,Action,-2016,150192
spiderman into the spiderverse ,8.4, bob persichetti peter ramsey  1 more credit î, phil lord , shameik moore jake johnson hailee steinfeld ,teenage superhero interdimensional travel multiverse marvel comics wisecrack humor,117,Animation,-2018,344648
avengers endgame ,8.4, anthony russo joe russo, christopher markus , robert downey jr chris evans mark ruffalo ,time travel superhero cosmic super villain marvel cinematic universe,181,Action,-2019,772250
avengers infinity war ,8.4, anthony russo joe russo, christopher markus , robert downey jr chris hemsworth mark ruffalo ,death of recurring character superhero supervillain ensemble cast marvel cinematic universe,149,Action,-2018,806811
coco ,8.4, lee unkrich adrian molina codirector, lee unkrich , anthony gonzalez gael garca bernal benjamin bratt ,mexico death afterlife male protagonist day of the dead,105,Animation,-2017,359273
django unchained ,8.4, quentin tarantino, quentin tarantino, jamie foxx christoph waltz leonardo dicaprio ,racial vengeance racial violence historically inaccurate sadism slavery,165,Drama,-2012,1328470
the dark knight rises ,8.4, christopher nolan, jonathan nolan , christian bale tom hardy anne hathaway ,dc comics batman character terrorist plot bruce wayne character sequel,164,Action,-2012,1491091
3 idiots ,8.4, rajkumar hirani, rajkumar hirani , aamir khan madhavan mona singh ,papadum hairy chest coming of age against the system college,170,Comedy,-2009,335453
 µµ  µèù ,8.4, aamir khan amole gupte uncredited, amole gupte , darsheel safary aamir khan tisca chopra ,dyslexia against the odds papadum mans best friend short haired woman,165,Drama,-2007,163772
wallîe ,8.4, andrew stanton, andrew stanton , ben burtt elissa knight jeff garlin ,robot obesity recycling robot adrift in space cgi animation,98,Animation,-2008,981145
the lives of others ,8.4, florian henckel von donnersmarck, florian henckel von donnersmarck, ulrich mhe martina gedeck sebastian koch ,stasi spy political thriller propaganda police,137,Drama,-2006,352265
oldboy ,8.4, chanwook park, garon tsuchiya , minsik choi jitae yoo hyejeong kang ,imprisonment psychological torture revenge brother sister relationship captive,120,Action,-2003,504978
memento ,8.4, christopher nolan, christopher nolan , guy pearce carrieanne moss joe pantoliano ,memory hidden truth short term memory loss telephone insulin overdose,113,Mystery,-2000,1107202
princess mononoke ,8.4, hayao miyazaki, hayao miyazaki neil gaiman , yji matsuda yuriko ishida yko tanaka ,forest anime human animal relationship curse princess,134,Animation,-1997,334550
once upon a time in america ,8.4, sergio leone, harry grey , robert de niro james woods elizabeth mcgovern ,corrupt police police corruption pig doggystyle sex bacon,229,Crime,-1984,304947
raiders of the lost ark ,8.4, steven spielberg, lawrence kasdan , harrison ford karen allen paul freeman ,nazi ark of the covenant indiana jones archeologist famous opening scene,115,Action,-1981,870509
the shining ,8.4, stanley kubrick, stephen king , jack nicholson shelley duvall danny lloyd ,haunted hotel labyrinth identical twins hotel snow,146,Drama,-1980,877578
apocalypse now ,8.4, francis ford coppola as francis coppola, john milius francis ford coppola , martin sheen marlon brando robert duvall ,vietnam jungle vietnam war secret mission anti war,147,Drama,-1979,595374
alien ,8.4, ridley scott, dan obannon , sigourney weaver tom skerritt john hurt ,alien spaceship outer space creature female protagonist,117,Horror,-1979,774418
high and low ,8.4, akira kurosawa, hideo oguni , toshir mifune yutaka sada tatsuya nakadai ,child kidnapping woman wearing a kimono house on a hill detective almond eyes,143,Crime,-1963,32290
dr strangelove or how i learned to stop worrying and love the bomb ,8.4, stanley kubrick, stanley kubrick , peter sellers george c scott sterling hayden ,war room us president bodily fluids nuclear holocaust nuclear weapons,95,Comedy,-1964,443838
witness for the prosecution ,8.4, billy wilder, agatha christie , tyrone power marlene dietrich charles laughton ,lawyer courtroom drama alibi london england defense attorney,116,Crime,-1957,106035
paths of glory ,8.4, stanley kubrick, stanley kubrick , kirk douglas ralph meeker adolphe menjou ,trench warfare military officer rifle world war one french soldier,88,Drama,-1957,174394
rear window ,8.4, alfred hitchcock, john michael hayes , james stewart grace kelly wendell corey ,neighbor wheelchair voyeur apartment amateur detective,112,Mystery,-1954,435911
sunset blvd ,8.4, billy wilder, charles brackett billy wilder , william holden gloria swanson erich von stroheim ,silent film star narrated from the grave butler madness recluse,110,Drama,-1950,197757
the great dictator ,8.4, charles chaplin, charles chaplin, charles chaplin paulette goddard jack oakie ,dictator 1910s invented language barber soldier,125,Comedy,-1940,199188
1917 ,8.3, sam mendes, sam mendes krysty wilsoncairns, deancharles chapman george mackay daniel mays ,world war one year 1917 no mans land death rat,119,Drama,-2019,378642
uri the surgical strike ,8.3, aditya dhar, aditya dhar, vicky kaushal paresh rawal mohit raina ,indian army indian soldier year 2016 soldier military,138,Action,-2019,41877
tumbbad ,8.3, rahi anil barve anand gandhi  1 more credit î, mitesh shah adesh prasad , sohum shah jyoti malshe anita date ,horror convention india hindu mythology god,104,Drama,-2018,25262
andhadhun ,8.3, sriram raghavan, arijit biswas yogesh chandekar , ayushmann khurrana tabu radhika apte ,blind neo noir pianist murder blackmail,139,Crime,-2018,67456
drishyam ,8.3, jeethu joseph, jeethu joseph, mohanlal meena asha sharath ,murder investigation investigation blackmail man missing corpse,160,Crime,-2013,29999
the hunt ,8.3, thomas vinterberg, tobias lindholm , mads mikkelsen thomas bo larsen annika wedderkopp ,kindergarten teacher hunt gunshot punched in the face false accusation of child abuse,115,Drama,-2012,272576
a separation ,8.3, asghar farhadi, asghar farhadi, payman maadi leila hatami sareh bayat ,divorce alzheimers disease marital problem court stairway,123,Drama,-2011,215708
incendies ,8.3, denis villeneuve, denis villeneuve , lubna azabal mlissa dsormeauxpoulin maxim gaudette ,twin brother and sister family relationships middle east university torture,131,Drama,-2010,144802
7 kogustaki mucize ,8.3, mehmet ada ztekin, zge efendioglu kubilay tat, aras bulut iynemli nisa sofiya aksongur deniz baysal ,remake told in flashback year 1983 father daughter relationship mentally ill,132,Drama,-2019,30169
my father and my son ,8.3, öagan irmak, öagan irmak, öetin tekindor fikret kuskan hmeyra ,grandfather grandson relationship father son relationship village death in childbirth death of son,112,Drama,-2005,76910
toy story 3 ,8.3, lee unkrich, john lasseter , tom hanks tim allen joan cusack ,toy college escape day care evil teddy bear,103,Animation,-2010,744407
inglourious basterds ,8.3, quentin tarantino, quentin tarantino, brad pitt diane kruger eli roth ,revenge nazi hunter world war two nazi jewish resistance,153,Adventure,-2009,1239354
eternal sunshine of the spotless mind ,8.3, michel gondry, charlie kaufman , jim carrey kate winslet tom wilkinson ,memory loneliness retrograde narrative flashback valentines day,108,Drama,-2004,896293
amlie ,8.3, jeanpierre jeunet, guillaume laurant , audrey tautou mathieu kassovitz rufus ,female protagonist paris france france montmartre paris voice over narration,122,Comedy,-2001,693996
snatch ,8.3, guy ritchie, guy ritchie, jason statham brad pitt benicio del toro ,diamond boxer narrated by character fight cockney accent,102,Comedy,-2000,770787
requiem for a dream ,8.3, darren aronofsky, hubert selby jr , ellen burstyn jared leto jennifer connelly ,drug addiction sex show sex scene addiction heroin,102,Drama,-2000,753637
american beauty ,8.3, sam mendes, alan ball, kevin spacey annette bening thora birch ,adulterous wife cheating wife midlife crisis unfaithful wife virginity,122,Drama,-1999,1054577
good will hunting ,8.3, gus van sant, matt damon ben affleck, robin williams matt damon ben affleck ,professor genius mathematical genius friend loss of wife,126,Drama,-1997,844078
children of heaven ,8.3, majid majidi, majid majidi, mohammad amir naji amir farrokh hashemian bahare seddiqi ,race late for school family relationships neorealism cobbler the shoemaker,89,Drama,-1997,63307
toy story ,8.3, john lasseter, john lasseter , tom hanks tim allen don rickles ,toy rivalry cowboy cgi animation claw crane,81,Animation,-1995,870504
braveheart ,8.3, mel gibson, randall wallace, mel gibson sophie marceau patrick mcgoohan ,scotland revolt based on true story england legend,178,Biography,-1995,946373
reservoir dogs ,8.3, quentin tarantino, quentin tarantino quentin tarantino , harvey keitel tim roth michael madsen ,heist gone wrong nonlinear timeline robbery graphic violence falling out among thieves,99,Crime,-1992,902644
full metal jacket ,8.3, stanley kubrick, stanley kubrick , matthew modine r lee ermey vincent donofrio ,military vietnam war drill instructor us marine us marine corps,116,Drama,-1987,663068
come and see ,8.3, elem klimov as e klimov, ales adamovich , aleksey kravchenko olga mironova liubomiras laucevicius ,mass murder nazi occupied soviet union crime against humanity year 1943 brutality,142,Drama,-1985,55723
aliens ,8.3, james cameron, james cameron , sigourney weaver michael biehn carrie henn ,alien rescue mission soldier monster death of daughter,137,Action,-1986,643395
amadeus ,8.3, milos forman, peter shaffer , f murray abraham tom hulce elizabeth berridge ,opera composer classical composer 1800s female stockinged leg,160,Biography,-1984,363360
scarface ,8.3, brian de palma, oliver stone , al pacino michelle pfeiffer steven bauer ,cocaine gangster cuban refugee male protagonist death of protagonist,170,Crime,-1983,726748
star wars episode vi  return of the jedi ,8.3, richard marquand, lawrence kasdan , mark hamill harrison ford carrie fisher ,death star brother sister relationship father son relationship boba fett character emperor palpatine character,131,Action,-1983,933719
das boot ,8.3, wolfgang petersen, wolfgang petersen , jrgen prochnow herbert grnemeyer klaus wennemann ,submarine movie war at sea claustrophobic setting sonar submarine captain,149,Adventure,-1981,228090
taxi driver ,8.3, martin scorsese, paul schrader, robert de niro jodie foster cybill shepherd ,taxi driver child prostitution loner street life neo noir,114,Crime,-1976,709339
the sting ,8.3, george roy hill, david s ward, paul newman robert redford robert shaw ,con con man scantily clad woman illegal activity playing golf,129,Comedy,-1973,237842
a clockwork orange ,8.3, stanley kubrick, stanley kubrick , malcolm mcdowell patrick magee michael bates ,gang dystopia future beating controversy,136,Crime,-1971,745222
2001 a space odyssey ,8.3, stanley kubrick, stanley kubrick , keir dullea gary lockwood william sylvester ,monolith star child human versus computer number in title computer,149,Adventure,-1968,592382
for a few dollars more ,8.3, sergio leone, sergio leone , clint eastwood lee van cleef gian maria volontå ,mexico shoulder holster new mexico desert alamogordo new mexico arizona desert,132,Western,-1965,228279
lawrence of arabia ,8.3, david lean, te lawrence , peter otoole alec guinness anthony quinn ,desert arab bedouin ottoman empire british military,228,Adventure,-1962,263470
the apartment ,8.3, billy wilder, billy wilder ial diamond, jack lemmon shirley maclaine fred macmurray ,mirror evidence christmas apartment auld lang syne,125,Comedy,-1960,160640
north by northwest ,8.3, alfred hitchcock, ernest lehman, cary grant eva marie saint james mason ,spy fugitive on the run mistaken identity mount rushmore,136,Adventure,-1959,294138
vertigo ,8.3, alfred hitchcock, alec coppel , james stewart kim novak barbara bel geddes ,romantic obsession vertigo 1950s acrophobia san francisco bay,128,Mystery,-1958,356522
singin in the rain ,8.3, stanley donen gene kelly, betty comden , gene kelly donald oconnor debbie reynolds ,femme fatale movie studio hollywood california reference to moses 1920s,103,Comedy,-1952,214832
ikiru ,8.3, akira kurosawa, akira kurosawa shinobu hashimoto , takashi shimura nobuo kaneko shinichi himori ,meaning of life cancer death bureaucrat playground,143,Drama,-1952,66408
bicycle thieves ,8.3, vittorio de sica, cesare zavattini , lamberto maggiorani enzo staiola lianella carell ,thief theft despair church chase,89,Drama,-1948,143033
double indemnity ,8.3, billy wilder, billy wilder , fred macmurray barbara stanwyck edward g robinson ,insurance investigation murder disguised as accident insurance insurance policy insurance salesman,107,Crime,-1944,140861
citizen kane ,8.3, orson welles, herman j mankiewicz , orson welles joseph cotten dorothy comingore ,newspaper publisher rosebud new york narcissism materialism,119,Drama,-1941,392250
m ,8.3, fritz lang, thea von harbou , peter lorre ellen widmann inge landgut ,serial killer loss of daughter psychopath investigation organized crime,99,Crime,-1931,140661
metropolis ,8.3, fritz lang, thea von harbou , brigitte helm alfred abel gustav frhlich ,class differences robot revolution dystopia social injustice,153,Drama,-1927,157416
the kid ,8.3, charles chaplin as charlie chaplin, charles chaplin , charles chaplin edna purviance jackie coogan ,baby boy orphan social worker abandoned baby,68,Comedy,-1921,110496
chhichhore ,8.2, nitesh tiwari, piyush gupta nikhil mehrotra , sushant singh rajput shraddha kapoor varun sharma ,friendship hostel life,143,Comedy,-2019,30663
kgf chapter 1 ,8.2, prashanth neel, prashanth neel, yash srinidhi shetty ramachandra raju ,period film one man army action hero fight violence,156,Action,-2018,32638
green book ,8.2, peter farrelly, nick vallelonga brian hayes currie , viggo mortensen mahershala ali linda cardellini ,on the road hotel jail piano pianist,130,Biography,-2018,349826
three billboards outside ebbing missouri ,8.2, martin mcdonagh, martin mcdonagh, frances mcdormand woody harrelson sam rockwell ,billboard police brutality black comedy ambiguous ending thrown through a window,115,Comedy,-2017,417072
talvar ,8.2, meghna gulzar, vishal bhardwaj aditya nimbalkar , irrfan khan konkona sen sharma neeraj kabi ,murder investigation based on true story title directed by female,132,Crime,-2015,30313
baahubali 2 the conclusion ,8.2, ss rajamouli, vijayendra prasad , prabhas rana daggubati anushka shetty ,sequel second part fight battle sword,167,Action,-2017,73203
klaus ,8.2, sergio pablos carlos martnez lpez codirector, sergio pablos , jason schwartzman jk simmons rashida jones ,christmas friendship post man island forest,96,Animation,-2019,77202
drishyam ,8.2, nishikant kamat, jeethu joseph , ajay devgn shriya saran tabu ,pursuit accident man beats up woman cinema witness,163,Crime,-2015,67217
queen ,8.2, vikas bahl, vikas bahl , kangana ranaut rajkummar rao lisa haydon ,papadum breasts character name as title nickname as title honeymoon,146,Adventure,-2013,59869
tangerines ,8.2, zaza urushadze, tatjana mlbeier , lembit ulfsak elmo nganen giorgi nakashidze ,1990s abkhazia anti war abkhaz georgian conflict year 1992,87,Drama,-2013,38249
bhaag milkha bhaag ,8.2, rakeysh omprakash mehra, prasoon joshi, farhan akhtar sonam kapoor pavan malhotra ,sikh athlete runner running patriotism,186,Biography,-2013,59966
gangs of wasseypur ,8.2, anurag kashyap, akhilesh jaiswal anurag kashyap , manoj bajpayee richa chadha nawazuddin siddiqui ,revenge blood gun abuse gangster,321,Action,-2012,79550
udaan ,8.2, vikramaditya motwane, vikramaditya motwane anurag kashyap , rajat barmecha ronit roy manjot singh ,engineering college authoritarian boarding school dark hero disturbed childhood,134,Drama,-2010,41800
paan singh tomar ,8.2, tigmanshu dhulia, sanjay chauhan , irrfan khan mahie gill rajesh abhay ,athlete army steeplechase journalist police,135,Action,-2012,32644
the secret in their eyes ,8.2, juan jos campanella, eduardo sacheri , ricardo darn soledad villamil pablo rago ,soccer game concealed clandestine undercover full frontal female nudity,129,Drama,-2009,189405
warrior ,8.2, gavin oconnor, gavin oconnor , tom hardy nick nolte joel edgerton ,father son relationship jarhead war machine military industrial complex tournament,140,Action,-2011,429938
shutter island ,8.2, martin scorsese, laeta kalogridis , leonardo dicaprio emily mortimer mark ruffalo ,surprise ending mental asylum self delusion psyche neo noir,138,Mystery,-2010,1105300
up ,8.2, pete docter bob peterson codirector, pete docter , edward asner jordan nagai john ratzenberger ,child in jeopardy heartfelt original story balloon south america,96,Animation,-2009,917728
the wolf of wall street ,8.2, martin scorsese, terence winter , leonardo dicaprio jonah hill margot robbie ,based on true story stockbroker female frontal nudity female rear nudity topless female nudity,180,Biography,-2013,1152508
chak de india ,8.2, shimit amin, jaideep sahni , shah rukh khan vidya malvade sagarika ghatge ,team hockey coach brawl boyfriend girlfriend relationship,153,Drama,-2007,72785
there will be blood ,8.2, paul thomas anderson, paul thomas anderson , daniel daylewis paul dano ciarn hinds ,oil misanthrope loss of hearing false prophet alcoholic,158,Drama,-2007,506920
pans labyrinth ,8.2, guillermo del toro, guillermo del toro, ivana baquero ariadna gil sergi lpez ,fairy hiding maze spain labyrinth,118,Drama,-2006,610225
v for vendetta ,8.2, james mcteigue, lilly wachowski , hugo weaving natalie portman rupert graves ,fascist revolution right wing government freedom dystopia,132,Action,-2005,1015680
±ù  û û ,8.2, rakeysh omprakash mehra as rakesh omprakash mehra, renzil dsilva , aamir khan soha ali khan siddharth ,urination papadum fuzz cop pig,167,Comedy,-2006,109849
black ,8.2, sanjay leela bhansali, sanjay leela bhansali , amitabh bachchan rani mukerji shernaz patel ,deafblindness deaf mute deaf blind deaf mute,122,Drama,-2005,33015
batman begins ,8.2, christopher nolan, bob kane , christian bale michael caine ken watanabe ,social decay dc comics superhero gotham well,140,Action,-2005,1287074
swades ,8.2, ashutosh gowariker, mg sathya , shah rukh khan gayatri joshi kishori ballal ,india village nasa postmaster childhood nanny,189,Drama,-2004,81820
